material_type,moisture_content,contamination_level,combustibility,calorific_value,rdf_score,rdf_suitable,rdf_grade
organic,68.19,7.86,3.02,3.32,0.1576,0,Unsuitable
organic,68.01,8.74,2.89,5.64,0.1434,0,Unsuitable
paper,10.36,3.81,9.38,16.11,0.6704,1,Medium
plastic,4.23,5.95,9.31,44.96,0.8551,1,High
metal,2.25,2.31,0.37,0.32,0.4123,0,Low
metal,0.87,2.81,0.4,0.23,0.3905,0,Low
organic,50.61,9.75,5.65,7.86,0.1773,0,Unsuitable
metal,2.26,2.55,0.02,0.42,0.306,0,Unsuitable
glass,3.37,1.12,0.0,0.0,0.3865,0,Low
metal,1.12,0.74,0.58,0.16,0.4059,0,Low
plastic,1.11,3.47,8.32,38.45,0.8842,1,High
organic,57.1,6.57,2.72,5.32,0.1032,0,Unsuitable
metal,3.33,1.3,0.78,0.21,0.5052,1,Medium
paper,6.13,2.7,9.49,16.08,0.6564,1,Medium
paper,9.9,4.32,7.17,14.6,0.743,1,High
organic,44.72,4.86,4.4,3.76,0.3095,0,Unsuitable
plastic,4.38,2.01,8.48,43.17,0.883,1,High
metal,2.2,0.28,0.44,0.25,0.4819,1,Low
glass,4.08,2.73,0.0,0.0,0.3587,0,Low
organic,51.51,8.68,5.43,4.34,0.2323,0,Unsuitable
metal,4.24,1.27,0.91,0.06,0.4576,1,Low
paper,19.14,1.76,9.83,14.02,0.6486,1,Medium
plastic,6.35,0.02,9.46,36.04,0.9473,1,High
organic,42.09,3.65,2.35,7.76,0.3874,0,Low
glass,2.14,0.6,0.0,0.0,0.4886,1,Low
cardboard,10.89,2.02,7.67,16.14,0.5976,1,Medium
glass,3.47,2.54,0.0,0.0,0.4309,0,Low
cardboard,8.54,1.65,8.9,17.21,0.7917,1,High
metal,4.38,1.14,0.27,0.1,0.3935,0,Low
organic,59.34,4.56,4.74,6.91,0.3895,0,Low
plastic,9.45,0.18,8.27,39.42,0.8405,1,High
metal,2.77,0.96,0.55,0.33,0.4872,1,Low
paper,16.39,3.24,8.73,14.27,0.615,1,Medium
metal,1.03,2.37,0.15,0.4,0.4483,0,Low
organic,78.69,7.8,2.36,6.47,0.0344,0,Unsuitable
plastic,2.61,4.31,9.48,35.24,0.8124,1,High
plastic,2.69,0.42,9.2,31.71,0.8379,1,High
cardboard,10.73,0.86,9.11,16.64,0.6646,1,Medium
metal,2.91,1.45,0.26,0.4,0.4665,1,Low
paper,26.04,3.71,8.84,13.16,0.5727,1,Medium
paper,17.5,3.73,8.39,13.07,0.5567,1,Medium
organic,67.77,3.23,2.17,4.31,0.1566,0,Unsuitable
metal,2.71,0.37,0.65,0.39,0.4629,1,Low
metal,1.37,0.09,0.33,0.35,0.4941,1,Low
organic,54.39,5.09,2.88,6.53,0.3182,0,Unsuitable
cardboard,23.22,0.41,7.45,16.15,0.6206,1,Medium
metal,2.92,0.22,0.96,0.15,0.4286,0,Low
glass,4.73,1.99,0.0,0.0,0.4608,1,Low
metal,4.14,1.53,0.36,0.49,0.426,0,Low
glass,4.37,2.7,0.0,0.0,0.4568,1,Low
plastic,9.3,2.57,9.3,36.31,0.7843,1,High
organic,73.82,4.36,2.74,5.2,0.2253,0,Unsuitable
metal,3.46,0.89,0.56,0.04,0.4548,1,Low
paper,12.64,1.07,7.69,13.86,0.5897,1,Medium
metal,0.84,1.09,0.69,0.26,0.3397,0,Unsuitable
cardboard,23.65,1.66,7.86,17.71,0.6079,1,Medium
paper,20.35,4.43,7.18,16.35,0.5896,1,Medium
plastic,2.56,0.63,9.88,32.27,0.8696,1,High
plastic,6.91,4.26,8.32,43.03,0.8324,1,High
metal,0.44,0.13,0.64,0.08,0.4728,1,Low
organic,40.56,8.46,5.6,7.19,0.4283,0,Low
plastic,4.44,2.39,9.79,44.83,0.8478,1,High
organic,70.73,4.41,5.78,7.74,0.2863,0,Unsuitable
plastic,5.61,5.66,8.19,43.82,0.8445,1,High
organic,53.56,3.95,3.92,4.16,0.3566,0,Low
organic,75.91,4.95,2.1,6.88,0.1616,0,Unsuitable
metal,2.73,2.45,0.84,0.29,0.444,0,Low
metal,3.38,1.08,0.0,0.12,0.4264,0,Low
glass,3.55,0.99,0.0,0.0,0.4095,0,Low
paper,15.33,1.22,8.46,14.55,0.6851,1,Medium
organic,78.48,7.14,4.36,4.82,0.1996,0,Unsuitable
glass,0.01,2.6,0.0,0.0,0.4439,0,Low
paper,25.93,0.85,8.23,16.36,0.6706,1,Medium
plastic,2.09,4.29,9.96,38.79,0.8148,1,High
organic,55.73,8.26,5.64,6.52,0.2179,0,Unsuitable
cardboard,16.54,1.22,9.13,17.65,0.6825,1,Medium
metal,1.17,1.63,0.76,0.47,0.4227,0,Low
cardboard,13.26,0.5,9.94,16.27,0.7471,1,High
cardboard,9.54,1.8,9.95,16.47,0.7117,1,High
glass,4.89,2.97,0.0,0.0,0.3062,0,Unsuitable
paper,19.44,0.63,9.46,16.76,0.6634,1,Medium
metal,0.51,1.02,0.07,0.13,0.5323,1,Medium
plastic,0.45,5.15,8.15,38.46,0.7641,1,High
paper,9.98,0.9,9.25,15.9,0.7365,1,High
organic,41.05,4.82,5.36,6.0,0.3543,0,Low
metal,1.3,2.84,0.73,0.06,0.4599,1,Low
paper,19.56,1.67,8.19,15.9,0.6411,1,Medium
organic,68.42,4.37,5.78,4.78,0.3457,0,Unsuitable
metal,3.49,1.83,0.44,0.32,0.4311,0,Low
cardboard,21.49,1.03,8.26,16.66,0.6642,1,Medium
glass,3.85,0.97,0.0,0.0,0.3979,0,Low
glass,3.02,1.75,0.0,0.0,0.3858,0,Low
plastic,0.93,3.08,9.04,39.19,0.8546,1,High
paper,29.34,4.36,7.64,13.96,0.4836,1,Low
metal,1.96,1.66,0.23,0.11,0.42,0,Low
plastic,6.88,5.86,8.4,36.29,0.842,1,High
glass,3.45,1.78,0.0,0.0,0.4144,0,Low
glass,2.86,1.62,0.0,0.0,0.4053,0,Low
metal,2.55,0.1,0.4,0.46,0.5844,1,Medium
plastic,8.02,4.01,9.7,31.82,0.8022,1,High
metal,4.52,1.56,0.62,0.11,0.4788,1,Low
organic,40.88,9.87,3.04,5.97,0.2217,0,Unsuitable
paper,14.27,1.99,8.01,15.55,0.5827,1,Medium
glass,4.87,2.0,0.0,0.0,0.3561,0,Low
plastic,8.52,3.44,8.83,42.99,0.8117,1,High
organic,53.12,9.45,3.07,3.69,0.2109,0,Unsuitable
glass,0.81,2.85,0.0,0.0,0.3091,0,Unsuitable
metal,3.04,2.68,0.11,0.46,0.399,0,Low
organic,66.74,5.61,2.24,7.79,0.0884,0,Unsuitable
paper,28.6,0.84,7.46,13.29,0.605,1,Medium
plastic,0.52,2.37,8.28,41.69,0.9469,1,High
cardboard,9.01,3.07,7.75,17.28,0.5992,1,Medium
glass,1.83,0.25,0.0,0.0,0.4605,1,Low
metal,4.67,0.58,0.73,0.17,0.3706,0,Low
organic,46.28,9.82,4.9,4.33,0.3107,0,Unsuitable
organic,69.9,9.48,3.29,5.36,0.0887,0,Unsuitable
plastic,3.93,3.03,8.21,32.68,0.813,1,High
plastic,3.49,1.5,9.49,45.19,0.9772,1,High
organic,40.34,7.82,3.66,6.37,0.2625,0,Unsuitable
organic,53.78,7.93,3.57,4.1,0.2927,0,Unsuitable
cardboard,20.05,0.48,9.08,17.0,0.5674,1,Medium
cardboard,22.89,1.26,7.09,15.92,0.6526,1,Medium
organic,61.89,9.43,5.48,4.53,0.2498,0,Unsuitable
organic,61.77,3.44,5.75,7.33,0.2829,0,Unsuitable
cardboard,18.99,2.27,9.4,16.43,0.6175,1,Medium
cardboard,6.61,2.34,7.64,17.05,0.6126,1,Medium
metal,0.55,1.2,0.73,0.08,0.4925,1,Low
plastic,3.55,4.99,9.02,40.03,0.8119,1,High
glass,0.12,0.15,0.0,0.0,0.4098,0,Low
glass,2.63,2.39,0.0,0.0,0.3958,0,Low
paper,9.29,4.51,8.45,14.49,0.6455,1,Medium
organic,44.79,8.3,3.34,3.59,0.2175,0,Unsuitable
organic,61.95,4.44,3.62,6.18,0.3113,0,Unsuitable
paper,25.91,2.05,8.27,14.99,0.6191,1,Medium
glass,0.54,0.94,0.0,0.0,0.3689,0,Low
paper,15.73,2.83,9.01,14.74,0.7219,1,High
metal,3.51,0.18,0.54,0.27,0.4565,1,Low
organic,71.83,6.53,2.68,5.94,0.2186,0,Unsuitable
organic,77.3,8.78,2.76,6.56,0.1417,0,Unsuitable
glass,3.43,1.5,0.0,0.0,0.359,0,Low
glass,4.14,2.83,0.0,0.0,0.4223,0,Low
paper,26.07,3.28,9.9,14.37,0.6556,1,Medium
paper,24.75,1.17,9.89,15.37,0.6693,1,Medium
paper,27.06,3.23,9.29,16.14,0.5947,1,Medium
cardboard,20.97,3.75,7.52,17.29,0.5324,1,Medium
cardboard,13.26,3.45,7.07,16.3,0.6161,1,Medium
paper,7.76,3.96,9.83,13.36,0.654,1,Medium
paper,9.95,0.39,9.86,16.57,0.742,1,High
organic,62.06,9.43,4.62,6.29,0.13,0,Unsuitable
paper,17.59,1.95,8.51,15.09,0.7079,1,High
metal,2.24,2.41,0.42,0.01,0.4263,0,Low
plastic,7.94,2.7,8.56,42.97,0.8537,1,High
paper,9.36,4.13,8.65,16.09,0.6149,1,Medium
metal,0.32,2.4,0.71,0.1,0.3835,0,Low
organic,56.17,9.21,4.42,5.63,0.2304,0,Unsuitable
cardboard,16.13,0.02,7.05,17.33,0.6501,1,Medium
organic,63.95,7.77,3.12,5.85,0.1318,0,Unsuitable
paper,26.5,1.44,8.59,15.0,0.5595,1,Medium
organic,55.76,6.94,5.71,3.81,0.3031,0,Unsuitable
cardboard,17.35,1.46,9.9,16.25,0.681,1,Medium
cardboard,21.68,3.28,9.08,17.25,0.6177,1,Medium
metal,0.19,0.59,0.93,0.37,0.5713,1,Medium
metal,0.56,2.85,0.11,0.13,0.4529,1,Low
metal,1.57,2.92,0.34,0.25,0.3341,0,Unsuitable
cardboard,16.02,2.97,8.98,16.83,0.6625,1,Medium
paper,22.75,3.96,7.44,15.71,0.5046,1,Medium
glass,1.5,2.62,0.0,0.0,0.4827,1,Low
paper,15.39,1.84,9.69,14.82,0.6461,1,Medium
paper,24.85,3.14,9.83,16.21,0.6442,1,Medium
plastic,5.25,0.14,8.52,39.95,0.8968,1,High
organic,63.36,5.53,4.14,3.01,0.3432,0,Unsuitable
metal,0.7,1.31,0.49,0.32,0.4503,1,Low
plastic,0.44,5.23,8.91,31.23,0.742,1,High
organic,65.98,5.99,3.64,5.68,0.2065,0,Unsuitable
metal,1.49,2.96,0.66,0.21,0.4588,1,Low
cardboard,10.21,0.65,7.46,17.19,0.6907,1,Medium
glass,0.35,0.35,0.0,0.0,0.4765,1,Low
organic,69.06,9.55,4.4,3.98,0.1526,0,Unsuitable
paper,13.58,0.25,7.91,16.62,0.6989,1,Medium
glass,2.54,1.55,0.0,0.0,0.4972,1,Low
organic,59.15,4.82,3.57,5.69,0.2747,0,Unsuitable
cardboard,24.79,0.23,7.96,15.96,0.6441,1,Medium
paper,22.12,1.24,8.38,15.58,0.6777,1,Medium
metal,4.9,0.36,0.34,0.1,0.4885,1,Low
organic,59.64,6.95,3.7,4.36,0.2484,0,Unsuitable
organic,76.95,3.53,4.63,5.28,0.279,0,Unsuitable
organic,63.88,9.22,2.27,4.75,0.108,0,Unsuitable
plastic,1.27,4.37,9.55,40.76,0.8746,1,High
paper,22.34,0.68,8.82,16.11,0.7678,1,High
plastic,1.27,4.69,8.51,30.51,0.8117,1,High
paper,17.65,1.63,7.03,13.14,0.5694,1,Medium
metal,0.75,1.08,0.17,0.06,0.4092,0,Low
plastic,5.5,1.26,8.69,37.65,0.9081,1,High
metal,0.19,0.11,0.35,0.36,0.4595,1,Low
cardboard,20.74,2.86,7.01,15.08,0.5243,1,Medium
metal,2.66,0.12,0.8,0.25,0.358,0,Low
cardboard,20.01,2.03,9.78,17.97,0.6333,1,Medium
cardboard,12.26,0.89,8.59,16.14,0.8122,1,High
cardboard,20.26,1.1,8.61,16.01,0.6733,1,Medium
glass,0.04,1.98,0.0,0.0,0.4708,1,Low
metal,2.01,2.08,0.86,0.39,0.4696,1,Low
metal,2.07,2.37,0.83,0.07,0.5045,1,Medium
glass,1.35,0.5,0.0,0.0,0.5037,1,Medium
cardboard,10.4,2.66,8.2,16.26,0.7024,1,High
cardboard,24.69,2.26,7.24,15.31,0.5441,1,Medium
metal,3.76,2.03,0.18,0.22,0.4257,0,Low
glass,4.33,0.71,0.0,0.0,0.3321,0,Unsuitable
cardboard,19.53,0.92,8.85,16.98,0.6272,1,Medium
paper,25.47,4.43,9.57,14.32,0.5464,1,Medium
metal,2.96,1.43,0.6,0.07,0.4145,0,Low
metal,0.89,0.84,0.13,0.11,0.4412,0,Low
paper,5.59,3.94,9.73,16.52,0.732,1,High
metal,4.96,1.76,0.96,0.47,0.3747,0,Low
metal,3.96,2.33,0.9,0.19,0.394,0,Low
organic,65.6,8.16,5.52,7.38,0.3002,0,Unsuitable
metal,0.89,2.85,0.06,0.28,0.365,0,Low
organic,62.72,5.73,2.33,6.24,0.3082,0,Unsuitable
organic,67.78,4.25,2.55,3.74,0.2656,0,Unsuitable
paper,24.47,2.98,9.43,15.37,0.5901,1,Medium
paper,14.77,0.75,7.41,15.39,0.6312,1,Medium
organic,47.37,9.17,5.83,4.27,0.2057,0,Unsuitable
metal,1.94,2.56,0.6,0.03,0.4392,0,Low
paper,7.26,2.03,8.21,15.59,0.6998,1,Medium
cardboard,5.33,3.1,7.07,15.91,0.6357,1,Medium
organic,67.62,4.2,3.96,6.61,0.3405,0,Unsuitable
glass,0.12,1.5,0.0,0.0,0.352,0,Low
metal,3.88,0.11,0.78,0.35,0.4527,1,Low
paper,14.84,0.6,7.72,14.21,0.6837,1,Medium
paper,9.38,0.94,9.7,16.14,0.7593,1,High
plastic,2.39,2.44,9.63,37.09,0.799,1,High
organic,54.74,6.51,4.48,5.03,0.2529,0,Unsuitable
organic,61.41,4.54,5.47,6.74,0.2994,0,Unsuitable
paper,23.68,0.03,8.03,14.76,0.619,1,Medium
paper,29.07,1.9,8.05,15.44,0.619,1,Medium
glass,0.71,2.88,0.0,0.0,0.357,0,Low
organic,57.49,9.54,2.55,3.59,0.172,0,Unsuitable
cardboard,20.3,3.14,9.09,15.16,0.6952,1,Medium
plastic,1.58,1.77,9.0,35.27,0.793,1,High
plastic,4.75,2.23,9.35,40.41,0.8834,1,High
metal,1.22,1.13,0.71,0.28,0.4831,1,Low
metal,0.84,1.52,0.32,0.46,0.3924,0,Low
plastic,3.9,4.96,8.11,34.77,0.779,1,High
organic,41.27,9.43,4.87,6.13,0.2542,0,Unsuitable
organic,65.55,8.79,4.39,6.74,0.2394,0,Unsuitable
metal,4.88,0.1,0.39,0.44,0.4658,1,Low
glass,1.83,1.28,0.0,0.0,0.5029,1,Medium
cardboard,24.46,2.57,9.62,15.74,0.685,1,Medium
plastic,0.09,4.23,8.24,38.76,0.8476,1,High
cardboard,5.64,1.79,9.05,17.67,0.6944,1,Medium
paper,26.11,3.25,8.18,15.84,0.6117,1,Medium
organic,52.13,9.95,5.63,5.43,0.33,0,Unsuitable
paper,24.02,4.13,7.07,13.32,0.5723,1,Medium
metal,4.59,1.19,0.89,0.23,0.3745,0,Low
metal,2.8,1.08,0.04,0.06,0.415,0,Low
organic,54.59,7.25,3.23,3.33,0.231,0,Unsuitable
cardboard,24.85,1.57,7.27,16.74,0.5849,1,Medium
plastic,7.87,5.02,9.86,40.18,0.7066,1,High
paper,25.87,4.29,9.75,14.91,0.5657,1,Medium
cardboard,8.9,2.41,8.08,16.79,0.6416,1,Medium
cardboard,9.32,1.29,8.99,17.03,0.8069,1,High
plastic,1.27,4.91,9.38,30.49,0.7417,1,High
glass,1.8,0.35,0.0,0.0,0.3857,0,Low
plastic,2.66,4.92,9.05,36.79,0.7793,1,High
cardboard,7.63,0.89,7.67,16.8,0.7793,1,High
metal,1.94,1.67,0.97,0.16,0.4222,0,Low
paper,22.92,3.65,9.19,13.81,0.6387,1,Medium
plastic,8.11,2.29,9.97,35.84,0.7746,1,High
glass,2.17,2.54,0.0,0.0,0.2927,0,Unsuitable
plastic,8.51,3.66,9.92,43.95,0.8192,1,High
cardboard,24.17,1.03,8.83,15.85,0.6403,1,Medium
organic,43.75,8.14,3.68,5.94,0.2849,0,Unsuitable
plastic,4.96,3.75,8.63,32.33,0.7436,1,High
glass,4.72,0.68,0.0,0.0,0.5023,1,Medium
plastic,4.52,2.21,8.23,35.53,0.7005,1,High
paper,18.05,4.86,8.41,16.66,0.6789,1,Medium
cardboard,9.6,1.63,7.98,17.6,0.7285,1,High
cardboard,16.57,1.96,8.19,16.84,0.5475,1,Medium
glass,0.86,2.03,0.0,0.0,0.4026,0,Low
paper,29.94,2.44,8.49,16.09,0.5851,1,Medium
plastic,1.0,2.41,9.97,42.06,0.8597,1,High
plastic,7.46,3.65,9.51,40.55,0.7518,1,High
cardboard,15.4,1.03,8.46,15.44,0.6862,1,Medium
paper,11.13,1.47,8.5,13.65,0.6048,1,Medium
glass,1.76,0.09,0.0,0.0,0.4876,1,Low
plastic,2.46,4.47,9.89,36.09,0.8305,1,High
plastic,0.06,4.46,9.96,45.89,0.9331,1,High
cardboard,8.24,3.91,7.98,16.0,0.576,1,Medium
plastic,8.26,5.98,9.55,42.51,0.8225,1,High
cardboard,6.32,3.17,8.79,17.73,0.7841,1,High
paper,14.02,3.42,9.36,16.84,0.6731,1,Medium
paper,17.34,0.14,7.76,14.5,0.7298,1,High
plastic,3.64,3.74,9.66,33.87,0.765,1,High
plastic,7.05,4.67,9.65,33.35,0.7558,1,High
paper,14.8,2.15,9.95,13.45,0.6254,1,Medium
organic,74.01,4.06,4.86,5.35,0.2981,0,Unsuitable
plastic,8.72,0.39,9.51,44.74,0.9903,1,High
organic,64.04,3.32,5.42,3.23,0.3626,0,Low
organic,77.99,9.94,3.91,3.89,0.0,0,Unsuitable
organic,44.09,9.11,4.24,5.02,0.1994,0,Unsuitable
organic,74.65,7.92,2.33,3.8,0.1196,0,Unsuitable
plastic,1.01,5.6,9.3,31.52,0.7312,1,High
organic,49.79,6.99,2.05,5.33,0.1469,0,Unsuitable
plastic,9.28,2.06,9.28,33.63,0.7991,1,High
cardboard,16.43,0.69,9.82,17.66,0.6744,1,Medium
paper,24.42,0.48,9.22,14.13,0.6502,1,Medium
paper,16.75,2.65,8.56,13.24,0.573,1,Medium
glass,3.01,1.87,0.0,0.0,0.3621,0,Low
plastic,8.28,2.52,9.1,39.26,0.8747,1,High
metal,0.27,0.01,0.84,0.1,0.471,1,Low
cardboard,12.99,3.33,9.1,15.07,0.62,1,Medium
metal,2.53,1.04,0.73,0.34,0.4866,1,Low
glass,3.24,1.82,0.0,0.0,0.3563,0,Low
organic,65.23,6.59,5.05,4.31,0.1941,0,Unsuitable
plastic,7.65,4.63,9.78,31.35,0.7364,1,High
glass,4.84,1.72,0.0,0.0,0.3858,0,Low
cardboard,8.44,1.86,8.26,16.47,0.7231,1,High
plastic,4.78,3.09,9.77,43.08,1.0,1,High
organic,65.18,8.91,4.21,4.06,0.0997,0,Unsuitable
cardboard,18.39,2.26,9.59,17.35,0.6267,1,Medium
paper,21.56,2.63,8.39,15.84,0.5202,1,Medium
metal,2.45,0.38,0.7,0.32,0.3816,0,Low
glass,1.23,2.89,0.0,0.0,0.4013,0,Low
plastic,7.37,3.17,9.95,30.88,0.7834,1,High
plastic,2.03,3.63,9.56,32.21,0.7744,1,High
metal,3.44,2.5,0.5,0.1,0.3288,0,Unsuitable
metal,3.86,1.67,0.28,0.38,0.4235,0,Low
plastic,1.78,3.38,9.9,41.29,0.8481,1,High
plastic,2.83,3.26,9.05,33.96,0.705,1,High
glass,4.71,0.75,0.0,0.0,0.412,0,Low
cardboard,9.09,0.72,8.76,17.92,0.7177,1,High
cardboard,5.51,1.09,7.47,17.93,0.8584,1,High
organic,64.84,6.89,2.9,6.35,0.1529,0,Unsuitable
paper,5.48,0.41,8.09,16.9,0.7437,1,High
organic,52.86,8.04,5.86,4.79,0.1764,0,Unsuitable
glass,3.19,2.25,0.0,0.0,0.3853,0,Low
cardboard,23.09,1.59,9.84,17.65,0.629,1,Medium
organic,43.28,4.13,2.31,3.54,0.3317,0,Unsuitable
plastic,6.91,3.82,9.26,33.31,0.8289,1,High
paper,20.64,2.85,7.56,15.89,0.5188,1,Medium
cardboard,13.73,1.0,9.42,15.53,0.7224,1,High
metal,4.42,1.08,0.31,0.07,0.3897,0,Low
organic,41.27,6.58,2.34,5.87,0.2847,0,Unsuitable
metal,0.41,2.45,0.26,0.27,0.4163,0,Low
plastic,4.94,5.5,8.71,43.72,0.7376,1,High
organic,68.3,3.62,5.94,7.77,0.3775,0,Low
plastic,5.98,1.65,9.35,41.18,0.9063,1,High
metal,0.74,2.76,0.12,0.31,0.3533,0,Low
metal,0.1,1.09,0.64,0.26,0.4096,0,Low
cardboard,18.5,0.56,7.17,16.88,0.6389,1,Medium
organic,49.83,8.68,2.3,6.16,0.1624,0,Unsuitable
metal,3.27,1.25,0.72,0.03,0.404,0,Low
metal,3.41,0.36,0.07,0.36,0.3563,0,Low
cardboard,9.49,3.3,9.43,17.56,0.7137,1,High
paper,24.33,0.68,9.17,13.39,0.6118,1,Medium
metal,3.19,1.48,0.48,0.09,0.4643,1,Low
glass,2.7,1.59,0.0,0.0,0.423,0,Low
glass,0.91,2.83,0.0,0.0,0.5245,1,Medium
paper,28.58,3.47,8.9,13.94,0.5271,1,Medium
plastic,4.38,0.06,8.14,39.53,0.9429,1,High
cardboard,19.65,3.8,9.23,17.35,0.5508,1,Medium
paper,10.62,1.8,9.85,15.64,0.6674,1,Medium
glass,1.16,0.97,0.0,0.0,0.4626,1,Low
organic,51.82,8.07,2.58,7.47,0.2727,0,Unsuitable
organic,59.91,6.0,4.0,4.0,0.1884,0,Unsuitable
organic,73.99,8.61,2.65,6.37,0.0891,0,Unsuitable
plastic,4.26,0.29,9.86,36.33,0.9543,1,High
glass,3.8,0.79,0.0,0.0,0.3584,0,Low
paper,29.89,4.62,9.61,14.12,0.5226,1,Medium
organic,77.12,6.74,3.61,3.55,0.2359,0,Unsuitable
paper,15.1,2.03,8.72,13.11,0.7179,1,High
glass,1.45,0.42,0.0,0.0,0.3653,0,Low
plastic,1.52,2.69,8.37,41.77,0.9094,1,High
cardboard,15.99,1.53,8.39,16.27,0.6477,1,Medium
paper,6.62,0.58,9.93,14.12,0.6933,1,Medium
paper,8.18,3.78,9.77,16.16,0.6197,1,Medium
metal,2.02,2.58,0.8,0.0,0.3167,0,Unsuitable
glass,1.32,0.26,0.0,0.0,0.5332,1,Medium
organic,59.28,5.6,4.42,7.02,0.386,0,Low
organic,50.03,7.25,5.76,4.49,0.2964,0,Unsuitable
glass,0.88,0.23,0.0,0.0,0.4199,0,Low
organic,64.89,7.62,4.04,4.92,0.193,0,Unsuitable
organic,72.14,8.55,4.66,7.47,0.2511,0,Unsuitable
metal,0.67,2.87,0.89,0.16,0.4212,0,Low
organic,57.54,8.25,4.1,3.38,0.2934,0,Unsuitable
metal,4.41,0.11,0.74,0.15,0.4115,0,Low
cardboard,10.0,2.61,9.08,15.26,0.7156,1,High
metal,3.72,2.16,0.54,0.39,0.4661,1,Low
plastic,6.57,4.16,9.63,32.9,0.7821,1,High
cardboard,18.22,0.89,8.55,16.92,0.7385,1,High
metal,1.08,2.71,0.24,0.06,0.4294,0,Low
plastic,0.45,1.15,9.22,30.28,0.8166,1,High
organic,56.15,3.34,4.43,6.44,0.4121,0,Low
cardboard,9.49,3.47,9.07,15.17,0.6764,1,Medium
paper,12.77,1.91,8.89,13.22,0.6172,1,Medium
glass,0.87,0.08,0.0,0.0,0.4415,0,Low
glass,4.56,1.6,0.0,0.0,0.4366,0,Low
glass,4.55,1.49,0.0,0.0,0.4538,1,Low
paper,22.75,3.55,9.55,13.03,0.5316,1,Medium
paper,16.78,4.25,9.9,15.38,0.7247,1,High
organic,65.58,4.47,4.21,7.17,0.3051,0,Unsuitable
paper,14.46,0.18,7.76,15.79,0.5404,1,Medium
glass,0.53,0.29,0.0,0.0,0.4511,1,Low
cardboard,15.01,0.61,8.5,15.18,0.6506,1,Medium
glass,2.12,0.0,0.0,0.0,0.4154,0,Low
cardboard,5.88,3.28,8.97,15.75,0.59,1,Medium
plastic,8.28,5.17,8.35,35.66,0.8399,1,High
plastic,1.23,3.88,8.69,33.61,0.9107,1,High
paper,24.34,0.2,9.75,15.3,0.6794,1,Medium
glass,0.05,2.69,0.0,0.0,0.4095,0,Low
organic,67.72,9.45,2.9,4.01,0.053,0,Unsuitable
glass,2.51,1.8,0.0,0.0,0.4274,0,Low
metal,4.29,0.32,0.63,0.45,0.4474,0,Low
paper,13.17,1.53,8.69,14.65,0.5614,1,Medium
glass,1.02,1.6,0.0,0.0,0.5353,1,Medium
organic,78.87,7.65,2.13,6.97,0.1432,0,Unsuitable
glass,3.4,1.5,0.0,0.0,0.4365,0,Low
cardboard,10.69,1.09,9.3,17.12,0.6943,1,Medium
glass,3.93,1.72,0.0,0.0,0.4453,0,Low
paper,11.03,3.16,8.65,13.02,0.6916,1,Medium
plastic,4.86,4.08,8.95,41.91,0.8432,1,High
glass,2.23,1.01,0.0,0.0,0.4272,0,Low
cardboard,5.31,0.04,8.12,16.86,0.6985,1,Medium
organic,61.33,8.06,2.38,7.92,0.1449,0,Unsuitable
metal,0.55,2.13,0.84,0.05,0.4228,0,Low
metal,1.41,0.04,0.99,0.3,0.4991,1,Low
glass,4.16,2.44,0.0,0.0,0.4138,0,Low
organic,53.87,5.59,2.56,4.78,0.3037,0,Unsuitable
cardboard,8.31,1.49,8.44,17.16,0.7501,1,High
paper,10.07,0.18,7.91,13.63,0.6889,1,Medium
paper,9.53,1.59,9.18,15.04,0.6757,1,Medium
organic,46.47,9.55,2.41,6.18,0.2207,0,Unsuitable
plastic,7.25,1.02,8.57,34.99,0.7533,1,High
paper,10.36,0.65,9.78,13.65,0.7051,1,High
paper,19.42,3.76,9.18,13.44,0.5061,1,Medium
metal,4.48,1.87,0.52,0.27,0.4225,0,Low
paper,20.59,3.29,8.0,14.89,0.5988,1,Medium
plastic,4.28,5.77,9.41,30.02,0.7241,1,High
paper,15.32,4.2,7.52,13.06,0.562,1,Medium
glass,3.68,2.92,0.0,0.0,0.3608,0,Low
plastic,5.72,5.55,8.79,45.36,0.7721,1,High
cardboard,7.11,2.1,9.72,15.93,0.6897,1,Medium
metal,3.73,1.67,0.18,0.36,0.477,1,Low
paper,17.89,1.13,7.4,16.83,0.6318,1,Medium
metal,3.48,2.49,0.16,0.25,0.4173,0,Low
glass,0.52,0.45,0.0,0.0,0.4434,0,Low
glass,4.85,0.42,0.0,0.0,0.447,0,Low
cardboard,23.73,3.23,8.96,15.85,0.5866,1,Medium
paper,26.52,1.8,8.12,14.19,0.677,1,Medium
organic,74.43,3.07,3.74,7.71,0.3132,0,Unsuitable
paper,12.81,0.37,7.67,13.36,0.6584,1,Medium
plastic,1.64,1.81,8.02,45.2,1.0,1,High
paper,26.99,0.53,8.45,16.38,0.6612,1,Medium
plastic,2.1,4.41,9.36,35.79,0.7424,1,High
organic,73.02,5.25,2.55,5.59,0.1755,0,Unsuitable
cardboard,5.17,0.22,8.25,17.03,0.6416,1,Medium
glass,0.22,1.02,0.0,0.0,0.3819,0,Low
organic,71.62,5.23,4.98,3.73,0.3136,0,Unsuitable
plastic,5.39,0.65,9.91,44.5,0.9802,1,High
plastic,8.93,0.88,9.01,35.09,0.8417,1,High
organic,48.8,7.81,2.36,6.66,0.2533,0,Unsuitable
paper,21.52,4.37,8.83,13.85,0.5548,1,Medium
plastic,0.89,3.48,8.7,33.89,0.8961,1,High
